code_region;region;code_ancienne_region;ancienne_region;code_departement;departement;grand_secteur_d_activite;annee;trimestre;dernier_jour_du_trimestre;total_salaire_brut;a_jour
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2012;2;30/06/2012;6479940.63 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2012;4;31/12/2012;6899726.399999999 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2014;3;30/09/2014;6911430.49 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2015;1;31/03/2015;6393841.51 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2016;1;31/03/2016;6555016.02 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2016;2;30/06/2016;7024775.399999999 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2018;4;31/12/2018;7880617.18 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2019;1;31/03/2019;7497732.18 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2019;3;30/09/2019;8306484.58 €;Non
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2019;4;31/12/2019;8508136.129999999 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 Hôtellerie-restauration;2020;2;30/06/2020;3478820.11 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;1998;1;31/03/1998;50308815.78 €;Non
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;1998;3;30/09/1998;52327665.82 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;1998;4;31/12/1998;56925756.24 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;1999;1;31/03/1999;53901651.67 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;1999;3;30/09/1999;56950677.71 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2000;1;31/03/2000;57919569.48 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2000;4;31/12/2000;66694311.83 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2002;1;31/03/2002;65050286.86 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2004;1;31/03/2004;69530762.6 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2004;2;30/06/2004;72661992.48 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2004;4;31/12/2004;77681168.07 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2005;3;30/09/2005;72951165.92 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2006;1;31/03/2006;72658269.48 €;O
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2007;3;30/09/2007;74939641.39 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2008;4;31/12/2008;87593286.19 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2009;1;31/03/2009;79469684.86 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2009;2;30/06/2009;81462838.89999999 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2010;1;31/03/2010;82145743.67999999 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2011;2;30/06/2011;88412696.59 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2011;3;30/09/2011;85101372.78999999 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2012;4;31/12/2012;96168041.39 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2013;1;31/03/2013;88491677.48 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2013;2;30/06/2013;94076917.7 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2013;3;30/09/2013;90204879.44 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2013;4;31/12/2013;99654847.7 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2015;4;31/12/2015;101558423.44 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2016;2;30/06/2016;99377379.08 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2016;3;30/09/2016;94167252.28 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2016;4;31/12/2016;104312962.37 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2017;3;30/09/2017;97718402.25 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2018;2;30/06/2018;106040905.95 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2018;3;30/09/2018;101038254.64 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2019;1;31/03/2019;101812336.42 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors intérim;2019;2;30/06/2019;110887839.5 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;1998;3;30/09/1998;11993186.79 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;1998;4;31/12/1998;12130171.29 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;1999;1;31/03/1999;8181281.55 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;1999;3;30/09/1999;12771033.91 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2000;4;31/12/2000;17216799.61 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2001;3;30/09/2001;12428398.92 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2001;4;31/12/2001;12593825.68 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2002;2;30/06/2002;12327614.39 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2002;3;30/09/2002;13144775.66 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2003;1;31/03/2003;9608960.799999999 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2003;2;30/06/2003;10854334.23 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2003;4;31/12/2003;12007848.11 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2004;1;31/03/2004;9872776.23 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2004;3;30/09/2004;13931738.29 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2004;4;31/12/2004;11415285.94 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2006;1;31/03/2006;11799913.45 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2007;1;31/03/2007;13835356.389999999 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2007;2;30/06/2007;16666132.87 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2007;3;30/09/2007;17663713.64 €;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Intérim;2009;3;30/09/2009;10190805.11 €;Oui
