code_region;region;code_ancienne_region;ancienne_region;code_departement;departement;grand_secteur_d_activite;annee;trimestre;dernier_jour_du_trimestre;effectifs_salaries_brut;a_jour;sexe_majoritaire
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2011;1;31/03/2011;20081;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2011;2;30/06/2011;21108;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2012;1;31/03/2012;19906;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2012;3;30/09/2012;20777;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2013;2;30/06/2013;20248;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2013;3;30/09/2013;20423;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2013;4;31/12/2013;19590;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2014;1;31/03/2014;19375;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2014;4;31/12/2014;19522;Non;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2015;1;31/03/2015;19416;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2015;3;30/09/2015;20196;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2016;4;31/12/2016;20184;Non;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2017;2;30/06/2017;21119;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2018;4;31/12/2018;20728;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2019;3;30/09/2019;21530;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS3 Commerce;2020;2;30/06/2020;21922;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;1998;1;31/03/1998;4500;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;1998;3;30/09/1998;7164;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;1999;1;31/03/1999;4713;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;1999;2;30/06/1999;6185;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;1999;3;30/09/1999;7634;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2000;1;31/03/2000;4886;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2000;3;30/09/2000;8274;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2001;2;30/06/2001;7057;O;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2003;1;31/03/2003;6012;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2004;1;31/03/2004;6206;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2004;3;30/09/2004;9466;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2005;3;30/09/2005;9989;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2006;2;30/06/2006;8401;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2007;1;31/03/2007;6776;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS4 Hôtellerie-restauration;2007;4;31/12/2007;6731;Oui;M
