annee;effectif_moyen;effectif_moyen_prev;evo_effectif;salaire_moyen_prev;evo_salaire
2011;20594.5;26819.0;-23.20929191990753;99792023.825;12.718433158302567
2012;20341.5;20594.5;-1.2284833329286946;112484005.6725;-17.14539940658107
2013;20087.0;20341.5;-1.2511368384829045;93198173.63142857;0.29393462784454505
2014;19448.5;20087.0;-3.1786727734355558;93472115.33625002;-13.883829178162538
2015;19806.0;19448.5;1.838188035066972;80494606.51375;-21.829888170429115
2016;20184.0;19806.0;1.9085125719478946;62922723.928571425;8.333356397811018
2017;21119.0;20184.0;4.6323820848196595;68166298.76875;64.84013765051188
2018;20728.0;21119.0;-1.8514134191959846;112365420.72166668;-2.0016097062795106
2019;21530.0;20728.0;3.869162485526824;110116303.55399999;-27.05788719845535
2020;21922.0;21530.0;1.8207152810032514;80321158.35125;-40.21241224303219
1998;5832.0;;;;
1999;6177.333333333333;5832.0;5.9213534522176445;31777337.592;26.72466901109417
2000;6580.0;6177.333333333333;6.51845456507663;40269725.884;36.79013929745917
2001;7057.0;6580.0;7.249240121580547;55085014.13142858;-12.707576945931587
2003;6012.0;24098.0;-75.05187152460785;49395584.4775;-15.535669192967367
2004;7836.0;6012.0;30.33932135728543;41721649.87714286;14.263448212652518
2005;9989.0;7836.0;27.475752935171005;47672595.80083334;66.51484243828901
2006;8401.0;9989.0;-15.897487235959556;79381947.78400001;-13.4400924461826
2007;6753.5;8401.0;-19.610760623735267;68712940.61625001;-61.54807970043193
2008;7744.0;6753.5;14.6664692381728;26421445.161249995;134.94873902296095
2009;8898.0;7744.0;14.901859504132231;62076852.238;-2.9980984418011203
2002;24098.0;7057.0;241.47654810826128;48085043.575;2.7254647288733294
2010;26819.0;8898.0;201.40481006967858;60215727.09833334;65.72418641069945
